timestamp	hypothesis	margin_mean	n_pass	verdict	classification
2026-03-13	r12+r13+r23 near-conserved on figure-8	+4.5031	1/1	DUAL-PASS	choreographic_symmetry_Z3
2026-03-13	sqrt((r12^2+r13^2+r23^2)/3) on figure-8	-0.4945	1/1	ORACLE-FAIL+CHECKER-PASS	most_interesting margin=-0.49 frac_var=7.69e-04
2026-03-13	r12*r13+r12*r23+r13*r23 on figure-8 (e2)	-1.6697→+1.296	1/1	QUADRANT3→FLIPPED	margin_flipped by choreography_adapter; quadrant KNOWLEDGE_GAP→FIXABLE_BIAS
2026-03-13	(r12*r13*r23)^(1/3) on figure-8 (geom_mean)	-0.3233	1/1	ORACLE-FAIL+CHECKER-PASS	most_interesting margin=-0.32 frac_var=6.17e-03
2026-03-13	r12*r13*r23 on figure-8 (e3)	pending	0/1	CHECKER-FAIL	frac_var=1.85e-02_marginal
2026-03-13	pilot: kinetic energy (1/2)mv^2	baseline	3/10	ORACLE-FAIL	format_sensitivity_confirmed
2026-03-13	Q=r12+Γ₃(r13+r23) on restricted 3-vortex (vp11)	-29.959→+3.987	1/1	QUADRANT3→FLIPPED	margin_flipped by vortex_q_adapter_v4; KNOWLEDGE_GAP→FIXABLE_BIAS; frac_var=5.36e-06 all eps 0.001-0.5; exact at eps=0 and eps=1 limits; 300x better than r12 alone
